,MP_ID,formula,PREC,ALGO,ISPIN,IMIX,NELM,IBRION,EDIFF,NSW,ISIF,ENCUT,MAGMOM,ISMEAR,SIGMA,LDAU,LDAUU,total_E_ref,E_atom,total_E,cell_param,angle,Magm_ref,Mag_O_ref,Magm,Mag_O,tot_mag_ref,tot_mag,DHf_ref,DHf,Err_DHf,Ehull_ref,Eg_ref,Eg,Volume_ref,Volume,Err_V_percent,Theoretical,VBM,E_fermi,CBM,bgtype,bgpath
47,mp-973958,KRuO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.2,,,-30.85315958,-6.170631916,-31.004061,"(3.939277, 3.939277, 3.939277)","(90.0, 90.0, 90.0)","[0.0, 0.043, 0.002, 0.006, 0.012]",NM,"[-0.0, 0.0, 0.0, 0.0, -0.0]",NM,0.0816161,-0.0,-1.546275023349999,-1.6104416246,0.06416660125000107,0.08456636424999786,0.0,NaN,61.12931948987885,59.64960846958759,2.420624068187536,True,NaN,NaN,NaN,NaN,NaN
48,mp-18747,SrMoO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 5.0, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 4.38, 0]",-34.68309682,-6.936619364,-34.79627,"(4.080579, 4.080579, 4.080579)","(90.0, 90.0, 90.0)","[-0.001, -1.908, -0.001, -0.01, 0.014]",FM,"[0.001, 1.947, -0.003, 0.002, -0.016]",FM,1.9984765,2.0,-2.5883968040833336,-2.617047683,0.0286508789166664,0.08723388099999774,0.0,NaN,67.94623090034395,67.08510278973796,1.2673670035781632,False,NaN,NaN,NaN,NaN,NaN
49,mp-977123,NaTiO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.2,,,-35.21913956,-7.043827912,-35.134875,"(3.902333, 3.902333, 3.902333)","(90.0, 90.0, 90.0)","[-0.003, -0.121, 0.209, 0.37, 0.366]",FM,"[-0.003, -0.122, 0.207, 0.373, 0.367]",FM,0.9900512,1.0,-2.65497346175,-2.6677044752,0.012731013449999828,0.08835162867500124,0.0,NaN,59.42551848449956,59.248922138455875,0.2971725793015183,True,NaN,NaN,NaN,NaN,NaN
50,mp-1187191,SrScO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,,,-36.74054274,-7.348108548000001,-36.585858,"(4.139926, 4.139926, 4.139926)","(90.0, 90.0, 90.0)","[-0.01, -0.043, 0.218, 0.343, 0.322]",FM,"[-0.01, -0.043, 0.196, 0.35, 0.334]",FM,1.0000831,1.0,-3.1963191950833334,-3.2034967940000003,0.007177598916666916,0.08843607424999167,0.0,NaN,70.95413907681151,70.95413907681151,0.0,True,NaN,NaN,NaN,NaN,NaN
51,mp-1040467,RbOsO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,,,-32.59201043,-6.518402086,-32.584369,"(3.974097, 3.974097, 3.974097)","(90.0, 90.0, 90.0)","[-0.0, -0.001, -0.0, -0.0, -0.0]",NM,"[-0.0, 0.0, -0.0, -0.0, -0.0]",NM,0.0017219,0.0,-1.5294291002500002,-1.5500433990000004,0.020614298750000204,0.08873023299999883,0.0,NaN,62.76469020489101,62.855437882329376,-0.14458396455415579,True,NaN,NaN,NaN,NaN,NaN
52,mp-1017441,SrRhO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,,,-31.48397523,-6.296795046,-31.492846,"(4.004484, 4.004484, 4.004484)","(90.0, 90.0, 90.0)","[0.007, 0.859, 0.29, 0.04, 0.091]",FM,"[0.007, 0.924, 0.277, 0.049, 0.1]",FM,1.4004194,1.4694,-1.9437976020833332,-1.9829367239999995,0.03913912191666635,0.09117577574999736,0.0,NaN,64.21547336522843,63.07013845195382,1.7835808929733683,True,NaN,NaN,NaN,NaN,NaN
53,mp-1040471,NaMoO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 5.0, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 4.38, 0]",-31.84285645,-6.36857129,-32.119595,"(3.948882, 3.948882, 3.948882)","(90.0, 90.0, 90.0)","[-0.001, 1.141, -0.123, -0.021, -0.019]",FM,"[-0.001, 1.158, -0.124, -0.025, -0.021]",FM,1.0009005,1.0,-2.09580037975,-2.1480686905999993,0.05226831084999928,0.09499668624999913,0.0,NaN,61.57755902520197,60.3979432475498,1.9156585553665582,True,NaN,NaN,NaN,NaN,NaN
54,mp-867195,SrOsO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.2,,,-36.03449387,-7.206898774,-35.992092,"(3.992358, 3.992358, 3.992358)","(90.0, 90.0, 90.0)","[0.003, 0.707, 0.023, 0.051, 0.194]",FM,"[0.004, 0.794, 0.025, 0.059, 0.217]",FM,1.0549489,1.1833,-2.0761363520833327,-2.0894590190000004,0.013322666916667725,0.09691571972727342,0.0,NaN,63.63388435567394,63.63388435567394,0.0,True,NaN,NaN,NaN,NaN,NaN
55,mp-1016850,BaRhO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,,,-31.63831495,-6.32766299,-31.617451,"(4.094455, 4.094455, 4.094455)","(90.0, 90.0, 90.0)","[0.014, 0.913, 0.064, 0.114, 0.32]",FM,"[0.014, 0.938, 0.07, 0.119, 0.314]",FM,1.5496788,1.5733,-1.9287676307500008,-1.9535884229999994,0.024820792249998558,0.09833247362963249,0.0,NaN,68.64174366791524,67.4736131150708,1.7017786705649247,True,NaN,NaN,NaN,NaN,NaN
56,mp-1183290,BaPtO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,,,-29.3348591,-5.86697182,-29.314066,"(4.138181, 4.138181, 4.138181)","(90.0, 90.0, 90.0)","[-0.0, 0.003, -0.001, -0.0, 0.001]",NM,"[0.0, -0.0, -0.0, -0.0, -0.0]",NM,0.0020328,-0.0,-1.7215968307499998,-1.7249424624,0.003345631650000236,0.0993174252666611,0.0,NaN,70.864454291593,69.8914415658043,1.3730617634970477,True,NaN,NaN,NaN,NaN,NaN
