,formula,convg_bare,tot_E_bare,DE_bare,DG_bare,bare_mag,nsteps_bare,struc_bare,time_bare,convg_OOH,tot_E_OOH,DE_OOH,DG_OOH,OOH_mag,OOH_dmag,nsteps_OOH,struc_OOH,time_OOH,convg_O,tot_E_O,DE_O,DG_O,O_mag,O_dmag,nsteps_O,struc_O,time_O,convg_OH,tot_E_OH,DE_OH,DG_OH,OH_mag,OH_dmag,nsteps_OH,struc_OH,time_OH
11,SrCuO3,True,-263.5146,0,0,13.957,1,"Atoms(symbols='Cu12O32Sr8', pbc=True, cell=[7.769016, 7.769016, 24.71127], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 16, 17, 20, 21, 22, 24, 25, 28, 29, 30, 32, 33, 36, 37, 38, 40, 41, 44, 46, 48, 50]))",NaN,True,-277.1347,4.662,5.007,14.04,0.082,74,"Atoms(symbols='Cu12HO34Sr8', pbc=True, cell=[7.769016, 7.769016, 24.71127], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 13, 14, 15, 17, 18, 21, 22, 23, 25, 26, 29, 30, 31, 33, 34, 37, 38, 39, 41, 42, 47, 49, 51, 53]))",NaN,True,-266.7534,4.21,4.23,14.539,0.581,27,"Atoms(symbols='Cu12O33Sr8', pbc=True, cell=[7.769016, 7.769016, 24.71127], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 16, 17, 20, 21, 22, 24, 25, 28, 29, 30, 32, 33, 36, 37, 38, 40, 41, 45, 47, 49, 51]))",NaN,True,-272.6367,1.712,2.007,13.012,-0.946,91,"Atoms(symbols='Cu12HO33Sr8', pbc=True, cell=[7.769016, 7.769016, 24.71127], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 13, 14, 15, 17, 18, 21, 22, 23, 25, 26, 29, 30, 31, 33, 34, 37, 38, 39, 41, 42, 46, 48, 50, 52]))",NaN
12,KNbO3,True,-407.8959,0,0,-0.19,1,"Atoms(symbols='K8Nb12O32', pbc=True, cell=[8.114938, 8.114938, 25.1436725], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 44, 45, 46, 47, 48]))",NaN,True,-423.2254,2.953,3.298,1.036,1.226,175,"Atoms(symbols='HK8Nb12O34', pbc=True, cell=[8.114938, 8.114938, 25.1436725], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 45, 46, 47, 48, 49]))",NaN,True,-414.8989,0.445,0.465,1.765,1.954,148,"Atoms(symbols='K8Nb12O33', pbc=True, cell=[8.114938, 8.114938, 25.1436725], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 11, 12, 14, 15, 17, 18, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 44, 45, 46, 47, 48]))",NaN,True,-419.2418,-0.512,-0.217,1.066,1.256,110,"Atoms(symbols='HK8Nb12O33', pbc=True, cell=[8.114938, 8.114938, 25.1436725], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 12, 13, 15, 16, 18, 19, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 45, 46, 47, 48, 49]))",NaN
13,NaTaO3,True,-439.8462,0,0,0.001,26,"Atoms(symbols='Na8O32Ta12', pbc=True, cell=[7.960589882759809, 7.960589882759809, 24.95073735344976], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-456.0506,2.078,2.423,0.997,0.995,109,"Atoms(symbols='HNa8O34Ta12', pbc=True, cell=[7.960589882759809, 7.960589882759809, 24.95073735344976], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-448.2135,-0.919,-0.899,-0.001,-0.002,76,"Atoms(symbols='Na8O33Ta12', pbc=True, cell=[7.960589882759809, 7.960589882759809, 24.95073735344976], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-452.1042,-1.424,-1.129,0.997,0.995,48,"Atoms(symbols='HNa8O33Ta12', pbc=True, cell=[7.960589882759809, 7.960589882759809, 24.95073735344976], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
14,BaScO3,True,-384.8924,0,0,12.0,1,"Atoms(symbols='Ba8O32Sc12', pbc=True, cell=[8.439394, 8.439394, 25.5492425], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-398.5428,4.632,4.977,13.0,1.0,154,"Atoms(symbols='Ba8HO34Sc12', pbc=True, cell=[8.439394, 8.439394, 25.5492425], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-387.6614,4.68,4.7,14.0,2.0,11,"Atoms(symbols='Ba8O33Sc12', pbc=True, cell=[8.439394, 8.439394, 25.5492425], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-393.8749,1.852,2.147,13.0,1.0,82,"Atoms(symbols='Ba8HO33Sc12', pbc=True, cell=[8.439394, 8.439394, 25.5492425], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
15,BaPdO3,True,-281.0114,0,0,16.38,1,"Atoms(symbols='Ba8O32Pd12', pbc=True, cell=[8.211535617751217, 8.211535617751217, 25.264419522189023], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-294.9734,4.32,4.665,16.342,-0.037,124,"Atoms(symbols='Ba8HO34Pd12', pbc=True, cell=[8.211535617751217, 8.211535617751217, 25.264419522189023], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-285.0247,3.435,3.455,17.483,1.103,34,"Atoms(symbols='Ba8O33Pd12', pbc=True, cell=[8.211535617751217, 8.211535617751217, 25.264419522189023], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-290.4402,1.405,1.7,16.407,0.027,53,"Atoms(symbols='Ba8HO33Pd12', pbc=True, cell=[8.211535617751217, 8.211535617751217, 25.264419522189023], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
16,BaTaO3,True,-449.9201,0,0,2.961,1,"Atoms(symbols='Ba8O32Ta12', pbc=True, cell=[8.261692, 8.261692, 25.327115], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-472.7809,-4.578,-4.233,0.992,-1.969,191,"Atoms(symbols='Ba8HO34Ta12', pbc=True, cell=[8.261692, 8.261692, 25.327115], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-459.9601,-2.592,-2.572,2.088,-0.873,41,"Atoms(symbols='Ba8O33Ta12', pbc=True, cell=[8.261692, 8.261692, 25.327115], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-462.9347,-2.181,-1.886,2.758,-0.203,57,"Atoms(symbols='Ba8HO33Ta12', pbc=True, cell=[8.261692, 8.261692, 25.327115], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
17,SrHfO3,True,-458.4047,0,0,-0.0,1,"Atoms(symbols='Hf12O32Sr8', pbc=True, cell=[8.277160620227608, 8.277160620227608, 25.34645077528451], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 44, 46, 48, 50]))",NaN,True,-472.5722,4.115,4.46,-0.629,-0.629,54,"Atoms(symbols='HHf12O34Sr8', pbc=True, cell=[8.277160620227608, 8.277160620227608, 25.34645077528451], constraint=FixAtoms(indices=[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 47, 49, 51, 53]))",NaN,True,-461.9215,3.932,3.952,1.478,1.478,20,"Atoms(symbols='Hf12O33Sr8', pbc=True, cell=[8.277160620227608, 8.277160620227608, 25.34645077528451], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 45, 47, 49, 51]))",NaN,True,-468.4529,0.786,1.081,-0.063,-0.063,125,"Atoms(symbols='HHf12O33Sr8', pbc=True, cell=[8.277160620227608, 8.277160620227608, 25.34645077528451], constraint=FixAtoms(indices=[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 46, 48, 50, 52]))",NaN
18,NaOsO3,True,-351.5639,0,0,7.513,34,"Atoms(symbols='Na8O32Os12', pbc=True, cell=[7.753348, 7.753348, 24.691685], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 12, 13, 16, 17, 18, 20, 21, 24, 25, 26, 28, 29, 32, 33, 34, 36, 37, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-367.0886,2.758,3.103,4.478,-3.036,72,"Atoms(symbols='HNa8O34Os12', pbc=True, cell=[7.753348, 7.753348, 24.691685], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 13, 14, 17, 18, 19, 21, 22, 25, 26, 27, 29, 30, 33, 34, 35, 37, 38, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-358.4554,0.557,0.577,5.937,-1.577,30,"Atoms(symbols='Na8O33Os12', pbc=True, cell=[7.753348, 7.753348, 24.691685], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 12, 13, 16, 17, 18, 20, 21, 24, 25, 26, 28, 29, 32, 33, 34, 36, 37, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-363.0472,-0.649,-0.354,2.003,-5.51,44,"Atoms(symbols='HNa8O33Os12', pbc=True, cell=[7.753348, 7.753348, 24.691685], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 13, 14, 17, 18, 19, 21, 22, 25, 26, 27, 29, 30, 33, 34, 35, 37, 38, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
19,TlTcO3,True,-353.5858,0,0,1.901,1,"Atoms(symbols='O32Tc12Tl8', pbc=True, cell=[7.940895207635276, 7.940895207635276, 24.926119009544095], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 35, 36, 38, 39, 41, 42, 44, 46, 48, 50]))",NaN,True,-369.1129,2.755,3.1,-1.063,-2.964,76,"Atoms(symbols='HO34Tc12Tl8', pbc=True, cell=[7.940895207635276, 7.940895207635276, 24.926119009544095], constraint=FixAtoms(indices=[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 35, 36, 38, 39, 41, 42, 44, 45, 47, 49, 51, 53]))",NaN,True,-360.7409,0.293,0.313,0.757,-1.143,44,"Atoms(symbols='O33Tc12Tl8', pbc=True, cell=[7.940895207635276, 7.940895207635276, 24.926119009544095], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 33, 34, 36, 37, 39, 40, 42, 43, 45, 47, 49, 51]))",NaN,True,-364.7457,-0.326,-0.031,-2.579,-4.48,56,"Atoms(symbols='HO33Tc12Tl8', pbc=True, cell=[7.940895207635276, 7.940895207635276, 24.926119009544095], constraint=FixAtoms(indices=[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 34, 35, 37, 38, 40, 41, 43, 44, 46, 48, 50, 52]))",NaN
20,KReO3,True,-387.7488,0,0,1.071,2,"Atoms(symbols='K8O32Re12', pbc=True, cell=[7.878740259903428, 7.878740259903428, 24.848425324879287], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-403.8368,2.194,2.539,0.594,-0.477,83,"Atoms(symbols='HK8O34Re12', pbc=True, cell=[7.878740259903428, 7.878740259903428, 24.848425324879287], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-395.7608,-0.564,-0.544,1.25,0.18,45,"Atoms(symbols='K8O33Re12', pbc=True, cell=[7.878740259903428, 7.878740259903428, 24.848425324879287], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-399.6112,-1.028,-0.733,0.643,-0.428,49,"Atoms(symbols='HK8O33Re12', pbc=True, cell=[7.878740259903428, 7.878740259903428, 24.848425324879287], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
21,SrRuO3,True,-354.4471,0,0,25.619,1,"Atoms(symbols='O32Ru12Sr8', pbc=True, cell=[7.935278866970709, 7.935278866970709, 24.919098583713385], constraint=FixAtoms(indices=[0, 1, 2, 4, 5, 8, 9, 10, 12, 13, 16, 17, 18, 20, 21, 24, 25, 26, 28, 29, 32, 33, 35, 36, 38, 39, 41, 42, 44, 46, 48, 50]))",NaN,True,-369.6688,3.061,3.406,24.881,-0.738,46,"Atoms(symbols='HO34Ru12Sr8', pbc=True, cell=[7.935278866970709, 7.935278866970709, 24.919098583713385], constraint=FixAtoms(indices=[1, 2, 3, 5, 6, 9, 10, 11, 13, 14, 17, 18, 19, 21, 22, 25, 26, 27, 29, 30, 35, 36, 38, 39, 41, 42, 44, 45, 47, 49, 51, 53]))",NaN,True,-360.9553,0.94,0.96,18.009,-7.61,45,"Atoms(symbols='O33Ru12Sr8', pbc=True, cell=[7.935278866970709, 7.935278866970709, 24.919098583713385], constraint=FixAtoms(indices=[0, 1, 2, 4, 5, 8, 9, 10, 12, 13, 16, 17, 18, 20, 21, 24, 25, 26, 28, 29, 33, 34, 36, 37, 39, 40, 42, 43, 45, 47, 49, 51]))",NaN,True,-365.3164,-0.035,0.26,23.548,-2.071,61,"Atoms(symbols='HO33Ru12Sr8', pbc=True, cell=[7.935278866970709, 7.935278866970709, 24.919098583713385], constraint=FixAtoms(indices=[1, 2, 3, 5, 6, 9, 10, 11, 13, 14, 17, 18, 19, 21, 22, 25, 26, 27, 29, 30, 34, 35, 37, 38, 40, 41, 43, 44, 46, 48, 50, 52]))",NaN
22,KHfO3,True,-420.7503,0,0,4.932,1,"Atoms(symbols='Hf12K8O32', pbc=True, cell=[8.355908, 8.355908, 25.444885], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 14, 16, 18, 20, 21, 22, 24, 25, 28, 29, 30, 32, 33, 36, 37, 38, 40, 41, 44, 45, 46, 48, 49]))",NaN,True,-434.5716,4.461,4.806,6.686,1.754,117,"Atoms(symbols='HHf12K8O34', pbc=True, cell=[8.355908, 8.355908, 25.444885], constraint=FixAtoms(indices=[1, 2, 4, 5, 7, 8, 10, 11, 13, 15, 17, 19, 21, 22, 23, 25, 26, 29, 30, 31, 33, 34, 37, 38, 39, 41, 42, 45, 46, 47, 49, 50]))",NaN,True,-423.8114,4.387,4.407,9.185,4.252,19,"Atoms(symbols='Hf12K8O33', pbc=True, cell=[8.355908, 8.355908, 25.444885], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 14, 16, 18, 20, 21, 22, 24, 25, 28, 29, 30, 32, 33, 36, 37, 38, 40, 41, 44, 45, 46, 48, 49]))",NaN,True,-429.9332,1.651,1.946,7.71,2.777,98,"Atoms(symbols='HHf12K8O33', pbc=True, cell=[8.355908, 8.355908, 25.444885], constraint=FixAtoms(indices=[1, 2, 4, 5, 7, 8, 10, 11, 13, 15, 17, 19, 21, 22, 23, 25, 26, 29, 30, 31, 33, 34, 37, 38, 39, 41, 42, 45, 46, 47, 49, 50]))",NaN
23,SrVO3,True,-373.3384,0,0,12.0,1,"Atoms(symbols='O32Sr8V12', pbc=True, cell=[7.801782, 7.801782, 24.7522275], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 34, 36, 38, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-388.9395,2.681,3.026,11.0,-1.0,166,"Atoms(symbols='HO34Sr8V12', pbc=True, cell=[7.801782, 7.801782, 24.7522275], constraint=FixAtoms(indices=[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 35, 37, 39, 41, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-380.2904,0.496,0.516,10.0,-2.0,37,"Atoms(symbols='O33Sr8V12', pbc=True, cell=[7.801782, 7.801782, 24.7522275], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 33, 35, 37, 39, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-384.6581,-0.486,-0.191,11.0,-1.0,72,"Atoms(symbols='HO33Sr8V12', pbc=True, cell=[7.801782, 7.801782, 24.7522275], constraint=FixAtoms(indices=[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 34, 36, 38, 40, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
24,KOsO3,True,-349.5899,0,0,8.741,1,"Atoms(symbols='K8O32Os12', pbc=True, cell=[7.862318, 7.862318, 24.8278975], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-365.4152,2.457,2.802,0.114,-8.627,99,"Atoms(symbols='HK8O34Os12', pbc=True, cell=[7.862318, 7.862318, 24.8278975], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-356.3591,0.679,0.699,5.848,-2.893,11,"Atoms(symbols='K8O33Os12', pbc=True, cell=[7.862318, 7.862318, 24.8278975], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-361.1824,-0.759,-0.464,-0.079,-8.82,36,"Atoms(symbols='HK8O33Os12', pbc=True, cell=[7.862318, 7.862318, 24.8278975], constraint=FixAtoms(indices=[1, 3, 5, 7, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
25,TaAgO3,True,-424.5551,0,0,-0.001,1,"Atoms(symbols='Ag8O32Ta12', pbc=True, cell=[7.991667049020786, 7.991667049020786, 24.989583811275985], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 40, 41, 43, 44, 46, 47, 49, 50]))",NaN,True,-440.6702,2.167,2.512,1.503,1.504,109,"Atoms(symbols='Ag8HO34Ta12', pbc=True, cell=[7.991667049020786, 7.991667049020786, 24.989583811275985], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 43, 44, 46, 47, 49, 50, 52, 53]))",NaN,True,-432.9923,-0.989,-0.969,1.957,1.958,67,"Atoms(symbols='Ag8O33Ta12', pbc=True, cell=[7.991667049020786, 7.991667049020786, 24.989583811275985], constraint=FixAtoms(indices=[0, 2, 4, 6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 24, 25, 26, 27, 28, 32, 33, 34, 35, 36, 41, 42, 44, 45, 47, 48, 50, 51]))",NaN,True,-436.7401,-1.351,-1.056,1.506,1.506,84,"Atoms(symbols='Ag8HO33Ta12', pbc=True, cell=[7.991667049020786, 7.991667049020786, 24.989583811275985], constraint=FixAtoms(indices=[0, 2, 4, 6, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 33, 34, 35, 36, 37, 42, 43, 45, 46, 48, 49, 51, 52]))",NaN
26,SrNiO3,True,-252.0974,0,0,17.207,1,"Atoms(symbols='Ni12O32Sr8', pbc=True, cell=[7.771856716188424, 7.771856716188424, 24.71482089523553], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 44, 46, 48, 50]))",NaN,True,-266.0838,4.296,4.641,3.112,-14.095,131,"Atoms(symbols='HNi12O34Sr8', pbc=True, cell=[7.771856716188424, 7.771856716188424, 24.71482089523553], constraint=FixAtoms(indices=[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 47, 49, 51, 53]))",NaN,True,-255.1293,4.417,4.437,18.809,1.602,28,"Atoms(symbols='Ni12O33Sr8', pbc=True, cell=[7.771856716188424, 7.771856716188424, 24.71482089523553], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 45, 47, 49, 51]))",NaN,True,-259.7525,3.179,3.474,13.761,-3.447,90,"Atoms(symbols='HNi12O33Sr8', pbc=True, cell=[7.771856716188424, 7.771856716188424, 24.71482089523553], constraint=FixAtoms(indices=[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 46, 48, 50, 52]))",NaN
27,RbIrO3,True,-300.6718,0,0,9.654,1,"Atoms(symbols='Ir12O32Rb8', pbc=True, cell=[8.018406, 8.018406, 25.0230075], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 44, 46, 48, 50]))",NaN,True,-315.1647,3.79,4.135,10.417,0.764,82,"Atoms(symbols='HIr12O34Rb8', pbc=True, cell=[8.018406, 8.018406, 25.0230075], constraint=FixAtoms(indices=[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 47, 49, 51, 53]))",NaN,True,-305.7249,2.395,2.415,10.319,0.665,38,"Atoms(symbols='Ir12O33Rb8', pbc=True, cell=[8.018406, 8.018406, 25.0230075], constraint=FixAtoms(indices=[0, 1, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 28, 29, 30, 31, 32, 36, 37, 38, 39, 40, 45, 47, 49, 51]))",NaN,True,-310.8246,0.681,0.976,10.66,1.006,48,"Atoms(symbols='HIr12O33Rb8', pbc=True, cell=[8.018406, 8.018406, 25.0230075], constraint=FixAtoms(indices=[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 29, 30, 31, 32, 33, 37, 38, 39, 40, 41, 46, 48, 50, 52]))",NaN
