,formula,convg_bare,tot_E_bare,DE_bare,DG_bare,bare_mag,nsteps_bare,time_bare,convg_OOH,tot_E_OOH,DE_OOH,DG_OOH,OOH_mag,OOH_dmag,nsteps_OOH,time_OOH,convg_O,tot_E_O,DE_O,DG_O,O_mag,O_dmag,nsteps_O,time_O,convg_OH,tot_E_OH,DE_OH,DG_OH,OH_mag,OH_dmag,nsteps_OH,time_OH
25,TaAgO3,True,-424.5551,0,0,-0.001,1,0.217,True,-440.6702,2.167,2.512,1.503,1.504,109,44.371,True,-432.9923,-0.989,-0.969,1.957,1.958,67,8.979,True,-436.7401,-1.351,-1.056,1.506,1.506,84,9.725
26,SrNiO3,True,-252.0974,0,0,17.207,1,0.218,True,-266.0838,4.296,4.641,3.112,-14.095,131,23.25,True,-255.1293,4.417,4.437,18.809,1.602,28,11.029,True,-259.7525,3.179,3.474,13.761,-3.447,90,18.125
27,RbIrO3,True,-300.6718,0,0,9.654,1,0.254,True,-315.1647,3.79,4.135,10.417,0.764,82,18.365,True,-305.7249,2.395,2.415,10.319,0.665,38,38.483,True,-310.8246,0.681,0.976,10.66,1.006,48,13.671
28,NaReO3,True,-389.9078,0,0,1.179,1,0.2,True,-406.086,2.104,2.449,0.598,-0.581,70,30.364,True,-398.0736,-0.717,-0.697,1.234,0.055,53,5.453,True,-401.8673,-1.126,-0.831,0.674,-0.505,37,40.777
29,SrMnO3,True,-347.3522,0,0,36.466,1,0.211,True,-360.4703,5.164,5.509,22.298,-14.168,68,13.46,True,-350.173,4.628,4.648,14.883,-21.583,92,34.658,True,-355.9328,2.253,2.548,21.566,-14.9,96,8.545
30,CaFeO3,True,-320.8286,0,0,53.463,1,0.222,True,-334.5296,4.581,4.926,54.403,0.94,71,4.523,True,-324.02,4.257,4.277,53.06,-0.402,55,24.684,True,-330.0309,1.632,1.927,53.039,-0.424,55,12.67
31,SrZrO3,True,-436.8764,0,0,0.0,1,0.197,True,-450.9672,4.192,4.537,0.659,0.659,51,8.883,True,-440.3106,4.014,4.034,1.528,1.528,23,5.809,True,-446.8549,0.856,1.151,0.059,0.059,123,15.924
32,NaWO3,True,-336.7408,0,0,16.0,34,5.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,True,-345.7865,-1.597,-1.577,12.0,-4.0,43,8.099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,RbTaO3,True,-433.1057,0,0,-0.0,1,0.188,True,-449.1138,2.274,2.619,0.993,0.993,91,7.274,True,-441.1915,-0.637,-0.617,1.602,1.602,73,6.842,True,-445.2313,-1.292,-0.997,0.999,0.999,82,6.893
34,SrCoO3,True,-297.5497,0,0,40.892,1,0.175,True,-311.9163,3.916,4.261,40.256,-0.637,100,22.633,True,-301.8816,3.116,3.136,40.821,-0.072,51,11.731,True,-307.516,0.868,1.163,40.519,-0.374,15,3.111
35,SrTaO3,True,-449.5141,0,0,3.837,1,0.213,True,-473.0073,-5.211,-4.866,1.566,-2.27,172,11.56,True,-459.7656,-2.803,-2.783,2.415,-1.421,53,3.399,True,-462.6657,-2.318,-2.023,3.124,-0.713,66,3.719
36,KZrO3,True,-399.6309,0,0,5.241,1,0.197,True,-413.4338,4.48,4.825,8.241,3.0,123,7.443,True,-402.5835,4.496,4.516,9.662,4.421,20,2.541,True,-408.7531,1.712,2.007,8.483,3.242,114,6.981
37,CaTiO3,True,-419.9574,0,0,0.0,1,0.17,True,-433.8926,4.347,4.692,-0.684,-0.684,98,6.166,True,-423.5146,3.891,3.911,0.982,0.982,41,3.854,True,-429.8231,0.968,1.263,0.0,0.0,78,3.504
38,NaRuO3,True,-329.3751,0,0,7.614,17,4.24,True,-344.1982,3.459,3.804,7.448,-0.166,63,7.788,True,-334.9729,1.851,1.871,6.558,-1.056,50,9.27,True,-339.7585,0.451,0.746,7.917,0.303,35,9.977
39,LiTcO3,True,-371.0916,0,0,0.296,1,0.176,True,-386.3682,3.006,3.351,-0.11,-0.406,81,4.099,True,-377.9386,0.601,0.621,0.391,0.095,49,3.061,True,-382.0685,-0.143,0.152,-0.181,-0.477,32,2.154
40,SrPdO3,True,-279.8673,0,0,13.908,1,0.181,True,-294.7536,3.396,3.741,11.199,-2.709,172,21.606,True,-284.1594,3.156,3.176,14.561,0.653,63,6.311,True,-290.0968,0.604,0.899,11.47,-2.438,190,27.016
